Post_ID,Platform,Campaign_Name,Post_Date,Impressions,Reach,Engagement,Conversions
P-1000,Instagram,Product Demo,2026-01-05,16597,10782,1288,37
P-1001,LinkedIn,Holiday Deal,2026-01-14,6434,5126,461,9
P-1002,Facebook,Influencer Collab,2026-03-11,14149,8909,940,25
P-1003,Instagram,Brand Launch,2026-01-07,20194,15904,888,43
P-1004,Facebook,Product Demo,2026-03-13,21905,14697,366,17
P-1005,Instagram,Influencer Collab,2026-02-25,24560,17224,1859,92
P-1006,Twitter,Product Demo,2026-02-04,4883,3300,124,5
P-1007,Twitter,Product Demo,2026-01-04,3607,1935,131,4
P-1008,Instagram,Brand Launch,2026-01-17,19550,12067,1395,35
P-1009,Instagram,Brand Launch,2026-01-03,22013,15379,1631,59
P-1010,Twitter,Summer Sale,2026-02-03,15387,9068,708,30
P-1011,Instagram,Brand Launch,2026-01-05,22301,17686,1653,29
P-1012,LinkedIn,Brand Launch,2026-01-16,22956,16203,1321,55
P-1013,LinkedIn,Product Demo,2026-02-26,18698,12338,406,6
P-1014,LinkedIn,Summer Sale,2026-01-20,7312,5118,245,10
P-1015,Instagram,Brand Launch,2026-02-03,22290,17304,1620,38
P-1016,Instagram,Holiday Deal,2026-01-29,17740,10481,1212,14
P-1017,Facebook,Summer Sale,2026-01-02,12345,8306,184,2
P-1018,LinkedIn,Influencer Collab,2026-01-25,2506,1491,44,1
P-1019,Instagram,Holiday Deal,2026-03-16,8971,4619,389,17
P-1020,Instagram,Product Demo,2026-02-03,8763,5043,586,7
P-1021,Instagram,Summer Sale,2026-01-24,8974,7108,334,6
P-1022,LinkedIn,Summer Sale,2026-02-01,3765,2663,175,4
P-1023,Instagram,Product Demo,2026-03-07,13082,7995,775,24
P-1024,LinkedIn,Summer Sale,2026-02-01,4761,3044,267,4
P-1025,LinkedIn,Product Demo,2026-02-25,21834,15391,1770,72
P-1026,Facebook,Summer Sale,2026-01-24,2766,1714,98,3
P-1027,LinkedIn,Brand Launch,2026-01-24,21296,12212,1305,49
P-1028,Instagram,Brand Launch,2026-03-03,5245,2705,273,10
P-1029,Facebook,Brand Launch,2026-01-27,22252,12448,1071,30
P-1030,LinkedIn,Product Demo,2026-02-20,18445,9815,921,30
P-1031,Instagram,Influencer Collab,2026-02-03,17957,11999,1365,46
P-1032,Instagram,Summer Sale,2026-02-26,22266,13774,1368,15
P-1033,LinkedIn,Brand Launch,2026-03-09,11138,8270,672,10
P-1034,Twitter,Brand Launch,2026-01-30,14985,9052,547,8
P-1035,Instagram,Influencer Collab,2026-02-11,13402,7450,199,7
P-1036,Twitter,Influencer Collab,2026-02-15,17652,10136,852,26
P-1037,Twitter,Holiday Deal,2026-01-27,16778,12708,1163,54
P-1038,LinkedIn,Summer Sale,2026-02-01,21696,16500,870,22
P-1039,Twitter,Brand Launch,2026-02-14,11957,9469,1024,14
P-1040,Twitter,Brand Launch,2026-01-12,12465,8806,970,37
P-1041,LinkedIn,Summer Sale,2026-02-17,12824,7523,810,31
P-1042,Twitter,Holiday Deal,2026-01-01,9558,5325,438,5
P-1043,Instagram,Holiday Deal,2026-02-28,11926,9321,415,18
P-1044,Facebook,Brand Launch,2026-01-11,19409,12838,1106,35
P-1045,Facebook,Summer Sale,2026-01-06,3471,2219,135,2
P-1046,Instagram,Brand Launch,2026-01-14,20869,14398,1293,21
P-1047,Facebook,Influencer Collab,2026-03-10,4088,2052,225,4
P-1048,Twitter,Influencer Collab,2026-02-15,19256,12573,920,37
P-1049,Twitter,Influencer Collab,2026-01-23,12001,6220,602,25
P-1050,Twitter,Influencer Collab,2026-03-03,9214,5126,451,20
P-1051,Twitter,Influencer Collab,2026-03-04,16531,9886,734,8
P-1052,LinkedIn,Summer Sale,2026-01-04,24907,19051,834,11
P-1053,Twitter,Holiday Deal,2026-03-03,7250,5156,298,10
P-1054,LinkedIn,Summer Sale,2026-01-01,5170,2987,241,3
P-1055,LinkedIn,Summer Sale,2026-02-10,4583,3220,331,16
P-1056,LinkedIn,Summer Sale,2026-01-22,9172,6993,623,7
P-1057,Instagram,Influencer Collab,2026-02-26,14146,8025,781,8
P-1058,Facebook,Brand Launch,2026-01-06,14840,7632,306,8
P-1059,Instagram,Summer Sale,2026-01-09,3136,2241,100,3
P-1060,Twitter,Summer Sale,2026-02-08,14048,8586,974,44
P-1061,Twitter,Brand Launch,2026-01-08,24950,16732,692,23
P-1062,Facebook,Holiday Deal,2026-02-16,21411,13119,1490,56
P-1063,LinkedIn,Brand Launch,2026-01-26,21796,14795,864,15
P-1064,Instagram,Product Demo,2026-01-16,7386,4470,455,7
P-1065,Twitter,Product Demo,2026-02-20,3148,1804,47,1
P-1066,Twitter,Holiday Deal,2026-01-19,10015,6121,145,2
P-1067,Instagram,Summer Sale,2026-02-28,6612,4617,440,5
